Team,Age
Turkey,24.58
England,24.81
Wales,25.04
Ukraine,25.92
Spain,26.08
Switzerland,26.05
Poland,26.65
Scotland,26.77
Netherlands,26.81
Czech Republic,27
Germany,27
North Macedonia,27.12
Denmark,27.27
Italy,27.27
Croatia,27.27
France,27.31
Austria,27.38
Portugal,27.42
Russia,27.42
Finland,27.46
Hungary,27.62
Slovakia,27.77
Sweden,28.62
Belgium,28.73
